_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
133,2024,8,KOLKATA,GAYA,4384,4213,0.32,0.00,0.00,0.00
134,2024,1,KOLKATA,GORAKHPUR,1711,1814,0.00,0.00,0.00,0.00
135,2024,2,KOLKATA,GORAKHPUR,2044,1961,0.01,0.00,0.00,0.00
136,2024,3,KOLKATA,GORAKHPUR,2137,2098,0.00,0.00,0.00,0.00
137,2024,4,KOLKATA,GORAKHPUR,2218,1956,0.01,0.00,0.00,0.00
138,2024,6,KOLKATA,GORAKHPUR,1800,2125,0.00,0.00,0.00,0.00
139,2024,7,KOLKATA,GORAKHPUR,1730,1976,0.00,0.00,0.00,0.00
140,2024,8,KOLKATA,GORAKHPUR,1626,1813,0.00,0.00,0.00,0.00
141,2024,1,KOLKATA,GUWAHATI,43608,43634,230.65,63.55,33.85,8.68
142,2024,2,KOLKATA,GUWAHATI,38638,39288,437.17,59.90,27.98,8.50
143,2024,3,KOLKATA,GUWAHATI,42777,41811,478.00,157.81,19.45,12.00
144,2024,4,KOLKATA,GUWAHATI,47422,45102,441.02,39.98,14.24,7.07
145,2024,6,KOLKATA,GUWAHATI,45046,47752,505.43,57.94,6.17,7.64
146,2024,7,KOLKATA,GUWAHATI,48090,49755,537.88,63.48,6.80,8.94
147,2024,8,KOLKATA,GUWAHATI,43673,44117,512.82,62.82,5.54,9.47
148,2024,1,KOLKATA,Goa,5646,6127,3.21,35.12,0.00,0.17
149,2024,2,KOLKATA,Goa,4232,4666,3.92,35.07,0.00,2.03
150,2024,3,KOLKATA,Goa,4072,4815,3.55,26.34,0.00,3.15
151,2024,4,KOLKATA,Goa,3493,4694,3.33,22.32,0.00,0.00
152,2024,6,KOLKATA,Goa,4397,4427,2.46,30.87,0.00,0.67
153,2024,7,KOLKATA,Goa,5176,4240,1.44,36.11,0.00,0.00
154,2024,8,KOLKATA,Goa,4646,4223,1.56,31.67,0.00,0.00
155,2024,1,KOLKATA,HYDERABAD,42238,43717,221.11,211.49,11.38,10.45
156,2024,2,KOLKATA,HYDERABAD,41671,42825,218.72,242.18,10.21,8.35
157,2024,3,KOLKATA,HYDERABAD,47328,53274,143.82,225.53,12.29,10.40
158,2024,4,KOLKATA,HYDERABAD,45422,57302,218.69,251.20,10.15,8.09
159,2024,6,KOLKATA,HYDERABAD,46990,45240,203.58,180.31,7.99,12.19
160,2024,7,KOLKATA,HYDERABAD,49262,45178,180.35,178.45,7.61,11.51
161,2024,8,KOLKATA,HYDERABAD,47662,46153,196.00,166.35,6.98,10.45
162,2024,1,KOLKATA,IMPHAL,13914,14847,90.34,202.43,6.75,11.18
163,2024,2,KOLKATA,IMPHAL,12707,12354,97.33,79.24,7.11,12.49
164,2024,3,KOLKATA,IMPHAL,14527,14636,115.60,38.64,7.78,14.12
165,2024,4,KOLKATA,IMPHAL,15350,15315,110.54,44.10,8.54,7.97
166,2024,6,KOLKATA,IMPHAL,14601,16984,59.94,19.40,8.79,9.32
167,2024,7,KOLKATA,IMPHAL,14396,17003,77.31,6.18,8.38,11.76
168,2024,8,KOLKATA,IMPHAL,11955,16323,83.68,15.93,4.34,10.61
169,2024,1,KOLKATA,INDORE,5822,5945,20.29,17.09,0.38,1.54
170,2024,2,KOLKATA,INDORE,4815,4974,15.99,20.22,0.69,1.37
171,2024,3,KOLKATA,INDORE,5284,5421,16.00,14.50,3.98,1.66
172,2024,4,KOLKATA,INDORE,5209,5297,18.07,30.11,1.22,1.49
173,2024,6,KOLKATA,INDORE,5112,5143,23.87,19.90,0.68,1.17
174,2024,7,KOLKATA,INDORE,5251,5044,31.08,18.33,0.93,1.31
175,2024,8,KOLKATA,INDORE,6483,5905,19.78,18.26,0.50,1.46
176,2024,1,KOLKATA,Itanagar,3853,4037,0.17,0.00,0.00,0.00
177,2024,2,KOLKATA,Itanagar,3353,3100,0.04,0.00,0.00,0.00
178,2024,3,KOLKATA,Itanagar,3773,3546,0.27,0.00,0.00,0.00
179,2024,4,KOLKATA,Itanagar,3979,3560,0.39,0.00,0.00,0.00
180,2024,6,KOLKATA,Itanagar,3931,3919,0.16,0.00,0.00,0.00
181,2024,7,KOLKATA,Itanagar,3837,4110,0.08,0.00,0.00,0.00
182,2024,8,KOLKATA,Itanagar,4146,3968,0.02,0.00,0.00,0.00
183,2024,1,KOLKATA,JAIPUR,13525,13990,57.09,197.20,3.35,2.54
184,2024,2,KOLKATA,JAIPUR,13894,13844,52.76,112.95,4.01,1.98
185,2024,3,KOLKATA,JAIPUR,19005,19413,17.89,94.52,3.99,1.81
186,2024,4,KOLKATA,JAIPUR,16699,18082,47.16,106.62,3.67,2.24
187,2024,6,KOLKATA,JAIPUR,14951,16854,38.28,112.98,1.74,3.18
188,2024,7,KOLKATA,JAIPUR,18545,17581,104.08,130.60,2.69,3.11
189,2024,8,KOLKATA,JAIPUR,16991,15887,108.64,141.26,2.91,3.25
190,2024,4,KOLKATA,JAMMU,421,502,0.19,0.00,0.00,0.00
